datetime,low,high,open,close,volumefrom,volumeto
2013-10-01,139.41,144.44,141.9,140.3,9572.16,1344565.6
2013-10-02,109.7,141.93,140.3,123.0,111317.57,13888930.74
2013-10-03,120.1,132.0,123.0,130.99,35270.15,4488527.25
2013-10-04,128.5,139.8,130.99,136.82,18507.85,2491501.84
2013-10-05,135.3,138.0,136.82,136.7,4995.15,679668.79
2013-10-06,134.1,138.0,136.7,137.8,4889.72,665512.24
2013-10-07,135.12,139.0,137.8,135.8,7362.35,1006277.91
2013-10-08,135.65,137.78,135.8,136.49,5227.21,707471.17
2013-10-09,135.8,142.1,136.49,139.5,17494.19,2431349.34
2013-10-10,138.51,141.69,139.5,140.41,11075.87,1551392.78
2013-10-11,138.87,141.85,140.41,140.1,7250.91,1013106.32
2013-10-12,139.39,143.05,140.1,142.89,11024.42,1559472.71
2013-10-13,141.5,147.65,142.89,147.53,16167.47,2342049.46
2013-10-14,146.03,153.69,147.53,151.37,29993.56,4512823.6
2013-10-15,150.62,158.1,151.37,158.09,15730.1,2416464.87
2013-10-16,144.2,162.99,158.09,152.82,42783.96,6636228.59
2013-10-17,150.75,159.94,152.82,157.59,15875.81,2470394.92
2013-10-18,156.49,168.29,157.59,168.28,25893.02,4225505.93
2013-10-19,167.08,195.8,168.28,183.15,55275.66,10000685.93
2013-10-20,177.24,186.1,183.15,186.1,11418.11,2087108.13
2013-10-21,183.18,197.37,186.1,192.78,24102.06,4613540.34
2013-10-22,192.79,205.5,192.78,202.99,33864.61,6761835.59
2013-10-23,200.7,227.98,202.99,227.97,39894.52,8526441.87
2013-10-24,175.3,233.38,227.97,206.98,96749.13,19649229.29
2013-10-25,176.6,208.97,206.98,197.88,36749.63,6934330.09
2013-10-26,186.99,198.41,197.88,188.56,12085.53,2322934.87
2013-10-27,188.95,207.81,188.56,206.91,13158.09,2633454.44
2013-10-28,200.42,209.79,206.91,206.9,11072.23,2287257.98
2013-10-29,204.2,216.5,206.9,216.0,10016.58,2119311.77
2013-10-30,203.99,216.49,216.0,208.0,13472.97,2853902.33
2013-10-31,205.43,214.99,208.0,211.17,5289.31,1121246.74
2013-11-01,209.71,214.95,211.17,213.43,5882.59,1251780.71
2013-11-02,211.0,214.86,213.43,211.69,4877.16,1041300.28
2013-11-03,212.1,226.95,211.69,224.0,12274.4,2694954.86
2013-11-04,221.95,238.98,224.0,238.16,18057.57,4167915.27
2013-11-05,229.0,258.87,238.16,251.3,45100.26,11094612.74
2013-11-06,251.41,272.52,251.3,264.1,38815.71,10223786.59
2013-11-07,263.6,324.21,264.1,309.65,86133.24,25582885.97
2013-11-08,308.01,358.0,309.65,355.0,44632.99,15072022.33
2013-11-09,339.99,394.99,355.0,367.79,49910.0,18427776.08
2013-11-10,289.96,372.52,367.79,336.32,74252.72,24225281.95
2013-11-11,321.41,375.99,336.32,362.98,17999.67,6330618.38
2013-11-12,358.97,391.79,362.98,380.04,22027.67,8309810.54
2013-11-13,372.17,444.97,380.04,434.85,36015.4,14780190.21
2013-11-14,402.54,447.49,434.85,433.4,31406.18,13453174.7
2013-11-15,412.97,457.92,433.4,433.92,28126.4,12273745.93
2013-11-16,427.98,476.94,433.92,461.96,19134.6,8737836.16
2013-11-17,456.98,536.75,461.96,528.3,26718.7,13340495.56
